,Category,Car Expenses,Education,Fast food,Fun,Gas,Groceries,Income,Medical,Mortgage,Neeny,Subscription,Utilities,Grand Total
Posted Date (YW),Description,Cost (Sum),,,,,,,,,,,,
,ADT Home Security,,,,,,,,,,,,0,0
,Amazon,,,,0,,,,,,,,,0
,Atmos Energy,,,,,,,,,,,,0,0
,Buspatrol Americ,,,,,,,0,,,,,,0
,Cash App Transfer to Kenya,,,,0,,,,,,,,,0
,Chick-fil-A,,,0,,,,,,,,,,0
,Churchs,,,0,,,,,,,,,,0
,Coca Cola,,,,0,,,,,,,,,0
,Disney+,,,,,,,,,,,0,,0
,Dollar Tree,,,,0,,,,,,,,,0
,Family Dollar,,,,0,,,,,,,,,0
,Jamie Food Mart,,,0,,,,,,,,,,0
,Kid S University Learning,,0,,,,,,,,,,,0
,MCDONALD S F24726 GRETNA LA,,,0,,,,,,,,,,0
,MCDONALD S F29195 MARRERO LA,,,0,,,,,,,,,,0
,McDonald's,,,0,,,,,,,,,,0
,Sky Zone,,,,0,,,,,,,,,0
,Time Saver Gre Gretna PIN,,,,0,,,,,,,,,0
,United Wholesale Mortgage,,,,,,,,,0,,,,0
,Walgreens,,,,0,,,,,,,,,0
,Walmart,,,,,,0,,,,,,,0
,Winn-Dixie,,,,,,0,,,,,,,0
,Withdrawal from JPMorgan Chase Ext Trnsfr,,,,,,,,,,0,,,0
2024-W1 Total,,,0,0,0,,0,0,,0,0,0,0,0
,Amazon,,,,0,,,,,,,,,0
,Coca Cola,,,,0,,,,,,,,,0
,Dollar General,,,,0,,,,,,,,,0
,Domino's,,,0,,,,,,,,,,0
,Jefferson Parish,,,,,,,0,,,,,,0
,Jefferson Parish Utilities,,,,,,,,,,,,0,0
,Joes Cafe Lapalco,,,0,,,,,,,,,,0
,Kid S University Learning,,0,,,,,,,,,,,0
,Marshalls,,,,0,,,,,,,,,0
,McDonald's,,,0,,,,,,,,,,0
,Murphy USA,,,,,0,,,,,,,,0
,Netflix,,,,,,,,,,,0,,0
,Paystar,,,,,,,,,,,,0,0
,POPEYES 2601 MARRERO LA,,,0,,,,,,,,,,0
,ROUSE S M 6205 LAPALCO MARRERO  LA US,,,,,,0,,,,,,,0
,Rouses Markets,,,,,,0,,,,,,,0
,Shell Lapalco Harvey PIN,,,,,0,,,,,,,,0
,State Farm,0,,,,,,,,,,,,0
,Taco Bell,,,0,,,,,,,,,,0
,WAL-MART SUPER CENTER MARRERO  LA US,,,,,,0,,,,,,,0
,Walmart,,,,,,0,,,,,,,0
,YouTube Premium,,,,,,,,,,,0,,0
2024-W2 Total,,0,0,0,0,0,0,0,,,,0,0,0
,ACADEMY SPORTS #61 HARAHAN  LA US,,,,0,,,,,,,,,0
,Blazzin Wings,,,0,,,,,,,,,,0
,Brothers Food Westwego PIN,,,0,,,,,,,,,,0
,Buffalo Wild Wings,,,0,,,,,,,,,,0
,Buspatrol Americ,,,,,,,0,,,,,,0
,Check Deposit (Mobile),,,,,,,0,,,0,,,0
,Chipotle,,,0,,,,,,,,,,0
,Coca Cola,,,,0,,,,,,,,,0
,Cox New Orleans Comm,,,,,,,,,,,,0,0
,Entergy,,,,,,,,,,,,0,0
,Five Star Food Service,,,0,,,,,,,,,,0
